Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CsFG,CsFG+,CsBR,CsTS,CsDZ,CsGR,CsVCFG,CsMIFG,CsSQ,CsVCTS,CsFU,CsRA,CsSN,CsNA,CsBCFG,CsTSRA,CsHZ
2,2008-08-24,78,65,72.0,,57,63.0,0.0,7.0,,,NA,,,,0.0,29.38,30.03,8.7,3,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-08-25,74,64,69.0,-1.0,54,60.0,0.0,4.0,510.0,1839.0,NA,0.0,,0.0,0.0,29.36,30.08,11.1,5,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-08-25,74,66,70.0,,56,61.0,0.0,5.0,,,NA,,,,0.0,29.41,30.06,12.7,5,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-08-26,76,61,69.0,-1.0,54,60.0,0.0,4.0,511.0,1837.0,NA,0.0,,0.0,0.0,29.29,30.03,7.7,7,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-08-26,75,61,68.0,,55,61.0,0.0,3.0,,,NA,,,,0.0,29.34,30.01,7.9,7,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-08-27,83,61,72.0,2.0,56,63.0,0.0,7.0,512.0,1835.0,NA,0.0,,0.0,0.0,29.2,29.93,4.6,7,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-08-27,82,60,71.0,,57,63.0,0.0,6.0,,,NA,,,,0.0,29.25,29.91,4.2,9,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-08-28,80,63,72.0,2.0,64,67.0,0.0,7.0,513.0,1834.0,RA BR,0.0,,0.0,0.06,29.1,29.82,5.7,19,6.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-08-28,81,67,74.0,,65,68.0,0.0,9.0,,,RA,,,,0.02,29.15,29.8,5.7,19,6.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-08-29,85,64,75.0,5.0,58,65.0,0.0,10.0,514.0,1832.0,RA BR,0.0,,0.0,0.04,29.24,29.93,3.5,35,6.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-08-29,84,67,76.0,,61,66.0,0.0,11.0,,,BR HZ,,,,0.0,29.29,29.91,3.6,2,6.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2008-08-30,87,56,72.0,2.0,55,62.0,0.0,7.0,515.0,1831.0,NA,0.0,,0.0,0.0,29.39,30.09,2.6,24,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-08-30,87,61,74.0,,55,64.0,0.0,9.0,,,NA,,,,0.0,29.44,30.07,2.0,23,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-08-31,90,60,75.0,6.0,56,64.0,0.0,10.0,516.0,1829.0,NA,0.0,,0.0,0.0,29.41,30.13,4.8,13,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-08-31,89,65,77.0,,57,65.0,0.0,12.0,,,NA,,,,0.0,29.47,30.11,4.8,12,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-01,90,62,76.0,8.0,54,63.0,0.0,11.0,517.0,1827.0,NA,0.0,,0.0,0.0,29.37,30.09,7.0,14,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-01,89,67,78.0,,54,64.0,0.0,13.0,,,NA,,,,0.0,29.42,30.07,7.7,12,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-02,94,65,80.0,12.0,61,68.0,0.0,15.0,518.0,1826.0,TS,0.0,,0.0,0.0,29.31,30.02,3.2,21,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008-09-02,95,68,82.0,,61,68.0,0.0,17.0,,,TS RA,,,,0.0,29.36,30.0,2.8,17,4.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-09-03,77,66,72.0,4.0,60,64.0,0.0,7.0,519.0,1824.0,TSRA,0.0,,0.0,0.02,29.31,30.02,9.8,1,10.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2008-09-03,77,68,73.0,,62,65.0,0.0,8.0,,,NA,,,,0.0,29.34,29.99,11.2,1,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-04,67,61,64.0,-4.0,61,62.0,1.0,0.0,520.0,1822.0,RA BR,0.0,,0.0,2.9,29.08,29.82,11.6,3,12.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-09-04,68,63,66.0,,63,64.0,0.0,1.0,,,RA BR,,,,2.68,29.13,29.8,11.2,3,12.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-09-05,70,57,64.0,-3.0,56,59.0,1.0,0.0,521.0,1821.0,NA,0.0,,0.0,0.0,29.22,29.93,5.9,34,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-05,68,58,63.0,,58,60.0,2.0,0.0,,,RA BR,,,,0.01,29.28,29.92,4.3,32,4.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-09-06,74,53,64.0,-3.0,54,58.0,1.0,0.0,522.0,1819.0,BR,0.0,,0.0,0.01,29.28,29.98,4.9,27,5.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008-09-06,74,56,65.0,,54,59.0,0.0,0.0,,,RA,,,,0.0,29.34,29.98,5.1,28,5.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-09-07,74,55,65.0,-2.0,51,57.0,0.0,0.0,523.0,1817.0,NA,0.0,,0.0,0.0,29.35,30.06,6.4,26,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-07,74,58,66.0,,52,58.0,0.0,1.0,,,NA,,,,0.01,29.41,30.05,7.0,26,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-08,67,52,60.0,-6.0,52,55.0,5.0,0.0,524.0,1815.0,RA BR,0.0,,0.0,1.23,29.41,30.11,4.6,34,6.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-09-08,70,53,62.0,,54,56.0,3.0,0.0,,,RA BR,,,,1.01,29.45,30.1,4.9,33,6.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-09-09,69,49,59.0,-7.0,45,52.0,6.0,0.0,525.0,1814.0,NA,0.0,,0.0,0.0,29.45,30.17,3.9,36,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-09,68,49,59.0,,46,52.0,6.0,0.0,,,NA,,,,0.01,29.51,30.17,3.1,36,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-10,72,48,60.0,-6.0,48,54.0,5.0,0.0,526.0,1812.0,NA,0.0,,0.0,0.0,29.47,30.21,4.3,14,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-10,72,50,61.0,,47,54.0,4.0,0.0,,,NA,,,,0.0,29.54,30.2,4.0,14,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-11,79,55,67.0,2.0,57,61.0,0.0,2.0,527.0,1810.0,RA BR,0.0,,0.0,0.0,29.33,30.08,8.9,18,9.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-09-11,79,57,68.0,,57,62.0,0.0,3.0,,,BR,,,,0.0,29.4,30.07,8.6,18,9.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2008-09-12,73,69,71.0,6.0,67,68.0,0.0,6.0,528.0,1809.0,RA DZ BR,0.0,,0.0,0.37,29.22,29.96,6.0,22,6.8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-09-12,73,69,71.0,,68,69.0,0.0,6.0,,,RA DZ BR,,,,0.62,29.28,29.95,6.6,23,7.1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-09-13,75,68,72.0,7.0,69,70.0,0.0,7.0,529.0,1807.0,RA BR,0.0,,0.0,6.64,28.97,29.71,6.4,21,9.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-09-13,77,69,73.0,,71,72.0,0.0,8.0,,,RA BR,,,,3.07,29.04,29.7,7.2,22,9.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-09-14,72,58,65.0,1.0,61,62.0,0.0,0.0,530.0,1805.0,RA BR,0.0,,0.0,1.44,28.97,29.67,7.7,31,10.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-09-14,72,58,65.0,,62,63.0,0.0,0.0,,,RA BR,,,,1.75,29.01,29.66,7.2,32,9.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-09-15,63,53,58.0,-6.0,51,55.0,7.0,0.0,531.0,1803.0,NA,0.0,,0.0,0.0,29.41,30.1,5.7,34,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-15,65,55,60.0,,53,56.0,5.0,0.0,,,NA,,,,0.01,29.47,30.09,5.9,33,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-16,71,49,60.0,-4.0,50,55.0,5.0,0.0,532.0,1760.0,NA,0.0,,0.0,0.0,29.47,30.19,5.3,23,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-16,71,50,61.0,,50,55.0,4.0,0.0,,,NA,,,,0.0,29.52,30.18,5.3,24,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-17,82,57,70.0,6.0,56,60.0,0.0,5.0,533.0,1758.0,NA,0.0,,0.0,0.0,29.46,30.18,2.1,29,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-17,83,58,71.0,,56,61.0,0.0,6.0,,,NA,,,,0.0,29.52,30.17,2.2,28,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-18,74,56,65.0,1.0,55,60.0,0.0,0.0,535.0,1756.0,NA,0.0,,0.0,0.0,29.56,30.28,6.1,9,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-18,74,62,68.0,,56,60.0,0.0,3.0,,,NA,,,,0.0,29.62,30.27,7.2,9,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-19,77,54,66.0,3.0,54,59.0,0.0,1.0,536.0,1755.0,NA,0.0,,0.0,0.0,29.47,30.2,5.8,19,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-19,79,58,69.0,,53,60.0,0.0,4.0,,,NA,,,,0.0,29.52,30.19,6.1,18,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-20,82,56,69.0,7.0,57,61.0,0.0,4.0,537.0,1753.0,NA,0.0,,0.0,0.0,29.46,30.17,1.7,16,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-20,82,59,71.0,,56,62.0,0.0,6.0,,,HZ,,,,0.0,29.51,30.16,2.3,12,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2008-09-21,80,58,69.0,7.0,61,64.0,0.0,4.0,538.0,1751.0,FG+ BR HZ,0.0,,0.0,0.0,29.55,30.26,3.8,5,4.2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2008-09-21,80,60,70.0,,61,65.0,0.0,5.0,,,BR HZ,,,,0.0,29.6,30.24,3.0,9,3.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2008-09-22,81,61,71.0,9.0,59,64.0,0.0,6.0,539.0,1749.0,BR HZ,0.0,,0.0,0.0,29.59,30.31,6.9,11,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2008-09-22,82,63,73.0,,59,64.0,0.0,8.0,,,BR HZ,,,,0.0,29.65,30.3,6.7,12,7.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2008-09-23,82,59,71.0,10.0,57,62.0,0.0,6.0,540.0,1748.0,NA,0.0,,0.0,0.0,29.56,30.29,7.0,15,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-23,83,63,73.0,,56,63.0,0.0,8.0,,,NA,,,,0.0,29.62,30.28,6.6,15,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-24,82,57,70.0,9.0,59,63.0,0.0,5.0,541.0,1746.0,TS TSRA BR HZ,0.0,,0.0,0.2,29.54,30.27,2.6,23,4.6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
2,2008-09-24,82,62,72.0,,57,63.0,0.0,7.0,,,NA,,,,0.0,29.6,30.25,2.7,21,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-25,77,63,70.0,9.0,61,64.0,0.0,5.0,542.0,1744.0,BR HZ,0.0,,0.0,0.0,29.54,30.27,6.9,4,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2008-09-25,78,66,72.0,,61,65.0,0.0,7.0,,,BR HZ,,,,0.0,29.59,30.25,5.4,4,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2008-09-26,79,59,69.0,9.0,55,60.0,0.0,4.0,543.0,1742.0,BR,0.0,,0.0,0.0,29.42,30.16,3.0,6,4.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008-09-26,78,60,69.0,,54,61.0,0.0,4.0,,,BR,,,,0.0,29.47,30.14,3.5,6,4.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2008-09-27,81,53,67.0,7.0,54,60.0,0.0,2.0,544.0,1741.0,BR,0.0,,0.0,0.0,29.33,30.06,1.0,3,2.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008-09-27,80,55,68.0,,54,60.0,0.0,3.0,,,BR HZ,,,,0.0,29.39,30.04,1.6,7,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2008-09-28,68,57,63.0,4.0,57,60.0,2.0,0.0,545.0,1739.0,NA,0.0,,0.0,0.0,29.41,30.13,7.2,4,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-28,69,60,65.0,,57,60.0,0.0,0.0,,,NA,,,,0.0,29.46,30.11,7.3,4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-09-29,64,54,59.0,0.0,55,57.0,6.0,0.0,546.0,1737.0,RA BR,0.0,,0.0,0.82,29.26,30.0,3.5,33,4.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-09-29,65,56,61.0,,57,59.0,4.0,0.0,,,RA BR HZ,,,,0.11,29.31,29.99,1.6,33,4.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,2008-09-30,59,48,54.0,-5.0,44,49.0,11.0,0.0,547.0,1735.0,NA,0.0,,0.0,0.0,29.21,29.95,11.4,31,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-09-30,61,48,55.0,,45,50.0,10.0,0.0,,,NA,,,,0.01,29.27,29.94,9.3,31,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-01,61,46,54.0,-4.0,40,47.0,11.0,0.0,548.0,1734.0,NA,0.0,,0.0,0.0,29.24,29.97,11.2,33,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-01,62,46,54.0,,41,47.0,11.0,0.0,,,NA,,,,0.0,29.3,29.96,10.9,33,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-02,61,42,52.0,-6.0,40,47.0,13.0,0.0,549.0,1732.0,NA,0.0,,0.0,0.0,29.18,29.91,8.7,28,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-02,62,43,53.0,,40,47.0,12.0,0.0,,,NA,,,,0.0,29.24,29.92,9.5,28,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-03,60,44,52.0,-5.0,42,47.0,13.0,0.0,550.0,1730.0,RA,0.0,,0.0,0.01,29.34,30.05,6.5,3,7.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-03,59,49,54.0,,43,49.0,11.0,0.0,,,RA,,,,0.01,29.4,30.04,6.0,6,8.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-04,61,38,50.0,-7.0,38,45.0,15.0,0.0,552.0,1729.0,NA,0.0,,0.0,0.0,29.51,30.23,3.2,11,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-04,60,42,51.0,,39,46.0,14.0,0.0,,,NA,,,,0.0,29.57,30.23,3.1,11,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-05,61,41,51.0,-6.0,43,48.0,14.0,0.0,553.0,1727.0,RA,0.0,,0.0,0.06,29.51,30.25,5.6,11,6.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-05,61,46,54.0,,41,49.0,11.0,0.0,,,RA,,,,0.03,29.57,30.24,6.5,11,7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-06,69,54,62.0,6.0,47,54.0,3.0,0.0,554.0,1725.0,NA,0.0,,0.0,0.0,29.49,30.23,10.5,11,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-06,70,56,63.0,,46,54.0,2.0,0.0,,,NA,,,,0.0,29.55,30.23,8.9,12,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-07,63,56,60.0,4.0,52,56.0,5.0,0.0,555.0,1724.0,RA BR,0.0,,0.0,0.8,29.24,30.01,10.3,13,11.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-07,65,56,61.0,,52,56.0,4.0,0.0,,,RA DZ BR,,,,0.86,29.31,30.01,9.5,14,10.9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-08,64,50,57.0,1.0,51,54.0,8.0,0.0,556.0,1722.0,RA BR,0.0,,0.0,0.19,29.13,29.85,7.5,26,8.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-08,63,52,58.0,,52,55.0,7.0,0.0,,,RA BR,,,,0.29,29.2,29.86,7.4,26,8.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-09,69,47,58.0,3.0,38,49.0,7.0,0.0,557.0,1720.0,NA,0.0,,0.0,0.0,29.36,30.05,5.5,29,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-09,69,48,59.0,,39,49.0,6.0,0.0,,,NA,,,,0.0,29.41,30.05,3.9,29,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-10,72,42,57.0,2.0,42,50.0,8.0,0.0,558.0,1719.0,NA,0.0,,0.0,0.0,29.47,30.18,4.8,11,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-10,73,46,60.0,,41,51.0,5.0,0.0,,,NA,,,,0.0,29.52,30.17,5.3,11,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-11,79,51,65.0,11.0,50,57.0,0.0,0.0,559.0,1717.0,NA,0.0,,0.0,0.0,29.52,30.24,4.2,14,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-11,80,55,68.0,,50,57.0,0.0,3.0,,,NA,,,,0.0,29.58,30.24,3.9,14,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-12,84,57,71.0,17.0,56,61.0,0.0,6.0,600.0,1715.0,BR,0.0,,0.0,0.0,29.55,30.27,4.3,15,5.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2008-10-12,86,62,74.0,,54,62.0,0.0,9.0,,,NA,,,,0.0,29.61,30.26,5.8,16,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-13,77,61,69.0,16.0,58,63.0,0.0,4.0,602.0,1714.0,NA,0.0,,0.0,0.0,29.47,30.21,7.7,20,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-13,79,64,72.0,,57,63.0,0.0,7.0,,,NA,,,,0.0,29.54,30.2,8.3,20,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-14,69,53,61.0,8.0,43,51.0,4.0,0.0,603.0,1712.0,RA,0.0,,0.0,0.0,29.49,30.22,2.0,30,6.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-14,70,55,63.0,,43,52.0,2.0,0.0,,,NA,,,,0.0,29.54,30.21,1.5,34,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-15,63,47,55.0,2.0,50,53.0,10.0,0.0,604.0,1711.0,RA BR,0.0,,0.0,0.3,29.34,30.06,4.2,32,6.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-15,64,50,57.0,,51,54.0,8.0,0.0,,,RA BR,,,,0.24,29.39,30.05,3.6,32,6.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-16,59,43,51.0,-1.0,38,44.0,14.0,0.0,605.0,1709.0,NA,0.0,,0.0,0.0,29.52,30.25,6.1,35,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-16,59,44,52.0,,39,45.0,13.0,0.0,,,NA,,,,0.0,29.57,30.24,6.7,35,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-17,57,43,50.0,-2.0,39,44.0,15.0,0.0,606.0,1707.0,NA,0.0,,0.0,0.0,29.53,30.26,6.2,36,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-17,56,44,50.0,,40,46.0,15.0,0.0,,,NA,,,,0.0,29.59,30.25,5.8,36,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-18,60,43,52.0,1.0,40,45.0,13.0,0.0,607.0,1706.0,RA BR,0.0,,0.0,0.05,29.58,30.32,2.1,7,6.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-18,60,46,53.0,,41,47.0,12.0,0.0,,,RA BR,,,,0.14,29.65,30.32,2.4,7,5.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-19,62,40,51.0,0.0,37,45.0,14.0,0.0,608.0,1704.0,NA,0.0,,0.0,0.0,29.49,30.24,12.0,19,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-19,62,44,53.0,,37,46.0,12.0,0.0,,,NA,,,,0.0,29.57,30.25,10.6,19,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-20,55,43,49.0,-1.0,42,46.0,16.0,0.0,610.0,1703.0,RA BR,0.0,,0.0,0.18,29.48,30.21,4.0,31,7.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-20,56,44,50.0,,43,47.0,15.0,0.0,,,RA BR,,,,0.31,29.54,30.21,3.2,31,7.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-21,55,38,47.0,-3.0,35,42.0,18.0,0.0,611.0,1701.0,NA,0.0,,0.0,0.0,29.64,30.37,7.1,2,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-21,55,39,47.0,,37,43.0,18.0,0.0,,,NA,,,,0.0,29.7,30.37,6.7,3,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-22,52,35,44.0,-6.0,30,40.0,21.0,0.0,612.0,1660.0,NA,0.0,,0.0,0.0,29.65,30.39,12.1,12,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-22,54,40,47.0,,29,40.0,18.0,0.0,,,NA,,,,0.0,29.71,30.4,12.0,12,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-23,58,41,50.0,1.0,36,44.0,15.0,0.0,613.0,1658.0,RA,0.0,,0.0,0.16,29.5,30.27,11.5,12,11.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-23,60,40,50.0,,34,43.0,15.0,0.0,,,RA,,,,0.09,29.56,30.27,10.6,12,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-24,54,44,49.0,0.0,44,47.0,16.0,0.0,614.0,1657.0,TSRA RA BR,0.0,,0.0,0.32,29.18,29.96,5.3,19,6.1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2008-10-24,56,45,51.0,,44,47.0,14.0,0.0,,,RA BR,,,,0.63,29.25,29.97,5.6,20,6.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2008-10-25,53,43,48.0,0.0,40,44.0,17.0,0.0,616.0,1656.0,RA DZ BR,0.0,,0.0,0.0,29.02,29.77,11.9,22,12.3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-25,53,43,48.0,,41,45.0,17.0,0.0,,,NA,,,,0.0,29.09,29.79,12.8,23,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2008-10-26,56,37,47.0,-1.0,32,41.0,18.0,0.0,617.0,1654.0,RA,0.0,,0.0,0.0,29.1,29.8,17.2,27,17.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2008-10-26,56,36,46.0,,34,41.0,19.0,0.0,,,RA SN,,,,0.01,29.17,29.81,17.5,27,18.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2008-10-27,47,33,40.0,-8.0,27,35.0,25.0,0.0,618.0,1653.0,NA,0.0,,0.0,0.0,29.51,30.2,13.7,31,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-27,47,34,41.0,,28,35.0,24.0,0.0,,,RA SN,,,,0.0,29.57,30.21,13.4,31,13.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2008-10-28,45,31,38.0,-9.0,23,33.0,27.0,0.0,619.0,1651.0,NA,0.0,,0.0,0.0,29.54,30.29,10.5,30,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2008-10-28,45,32,39.0,,23,33.0,26.0,0.0,,,NA,,,,0.0,29.6,30.31,9.9,30,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
